epoch,train_loss,val_loss
1,0.0983,0.0483
2,0.0765,0.0389
3,0.0618,0.0384
4,0.0535,0.0306
5,0.0482,0.0298
6,0.0438,0.0295
7,0.0395,0.0287
8,0.0361,0.0274
9,0.0317,0.0257
10,0.0290,0.0242
11,0.0242,0.0217
12,0.0211,0.0204
13,0.0184,0.0196
14,0.0163,0.0189
15,0.0148,0.0190
16,0.0138,0.0186
17,0.0128,0.0185
18,0.0136,0.0191
19,0.0130,0.0191
20,0.0122,0.0190
21,0.0117,0.0194
22,0.0114,0.0191
23,0.0110,0.0191
24,0.0106,0.0195
25,0.0108,0.0201
26,0.0107,0.0200
27,0.0103,0.0195
28,0.0105,0.0204
29,0.0100,0.0201
30,0.0098,0.0187
31,0.0097,0.0198
32,0.0093,0.0199
33,0.0095,0.0086
34,0.0100,0.0164
35,0.0108,0.0079
36,0.0104,0.0080
37,0.0106,0.0083
38,0.0100,0.0078
39,0.0100,0.0078
40,0.0095,0.0081
41,0.0092,0.0195
42,0.0094,0.0418
43,0.0088,0.0088
44,0.0092,0.1095
45,0.0095,0.0194
46,0.0101,0.0194
47,0.0104,0.0105
48,0.0097,0.0080
49,0.0090,0.0080
50,0.0089,0.0076
51,0.0087,0.0073
52,0.0083,0.0073
53,0.0087,0.0075
54,0.0085,0.0075
55,0.0087,0.0076
56,0.0083,0.0073
57,0.0082,0.0072
58,0.0079,0.0074
59,0.0077,0.0072
60,0.0077,0.0071
61,0.0079,0.0073
62,0.0076,0.0070
63,0.0076,0.0073
64,0.0079,0.0072
65,0.0075,0.0068
66,0.0081,0.0069
67,0.0077,0.0074
68,0.0078,0.0070
69,0.0080,0.0070
70,0.0078,0.0070
71,0.0075,0.0069
72,0.0074,0.0068
73,0.0075,0.0070
74,0.0074,0.0069
75,0.0077,0.0070
76,0.0072,0.0070
77,0.0073,0.0068
78,0.0072,0.0068
79,0.0073,0.0067
80,0.0074,0.0066
81,0.0070,0.0067
82,0.0071,0.0065
83,0.0071,0.0066
84,0.0069,0.0066
85,0.0068,0.0065
86,0.0069,0.0067
87,0.0068,0.0065
88,0.0067,0.0065
89,0.0067,0.0065
90,0.0068,0.0063
91,0.0068,0.0062
92,0.0066,0.0063
93,0.0066,0.0064
94,0.0067,0.0063
95,0.0068,0.0065
96,0.0066,0.0062
97,0.0065,0.0062
98,0.0064,0.0063
99,0.0065,0.0062
100,0.0064,0.0061
101,0.0064,0.0060
102,0.0064,0.0064
103,0.0065,0.0062
104,0.0064,0.0060
105,0.0063,0.0060
106,0.0063,0.0059
107,0.0062,0.0060
108,0.0063,0.0060
109,0.0061,0.0061
110,0.0061,0.0059
111,0.0061,0.0060
112,0.0062,0.0058
113,0.0062,0.0058
114,0.0061,0.0058
115,0.0061,0.0059
116,0.0061,0.0060
117,0.0062,0.0058
118,0.0060,0.0058
119,0.0060,0.0058
120,0.0060,0.0058
121,0.0060,0.0059
122,0.0059,0.0059
123,0.0058,0.0058
124,0.0059,0.0059
125,0.0060,0.0058
126,0.0059,0.0056
127,0.0058,0.0057
128,0.0059,0.0058
129,0.0060,0.0056
130,0.0058,0.0057
131,0.0059,0.0057
132,0.0058,0.0056
133,0.0058,0.0056
134,0.0058,0.0056
135,0.0058,0.0055
136,0.0057,0.0054
137,0.0057,0.0055
138,0.0058,0.0054
139,0.0057,0.0055
140,0.0057,0.0055
141,0.0057,0.0055
142,0.0058,0.0054
143,0.0056,0.0055
144,0.0057,0.0053
145,0.0057,0.0053
146,0.0057,0.0054
147,0.0056,0.0051
148,0.0056,0.0051
149,0.0055,0.0053
150,0.0056,0.0052
151,0.0056,0.0051
152,0.0056,0.0050
153,0.0056,0.0047
154,0.0055,0.0049
155,0.0055,0.0049
156,0.0056,0.0049
157,0.0055,0.0046
158,0.0055,0.0047
159,0.0055,0.0046
160,0.0055,0.0045
161,0.0055,0.0045
162,0.0055,0.0046
163,0.0055,0.0044
164,0.0055,0.0046
165,0.0055,0.0043
166,0.0055,0.0042
167,0.0054,0.0041
168,0.0054,0.0046
169,0.0054,0.0044
170,0.0054,0.0041
171,0.0054,0.0043
172,0.0054,0.0042
173,0.0054,0.0041
174,0.0053,0.0040
175,0.0054,0.0041
176,0.0053,0.0041
177,0.0054,0.0040
178,0.0053,0.0040
179,0.0054,0.0040
180,0.0053,0.0040
181,0.0053,0.0039
182,0.0054,0.0040
183,0.0052,0.0040
184,0.0053,0.0040
185,0.0053,0.0040
186,0.0053,0.0039
187,0.0053,0.0039
188,0.0052,0.0039
189,0.0053,0.0039
190,0.0052,0.0039
191,0.0052,0.0039
192,0.0052,0.0039
193,0.0053,0.0038
194,0.0052,0.0039
195,0.0052,0.0039
196,0.0052,0.0039
197,0.0052,0.0038
198,0.0051,0.0039
199,0.0052,0.0038
200,0.0051,0.0038
201,0.0051,0.0038
202,0.0051,0.0038
203,0.0051,0.0038
204,0.0051,0.0038
205,0.0051,0.0038
206,0.0051,0.0037
207,0.0051,0.0038
208,0.0051,0.0037
209,0.0050,0.0038
210,0.0051,0.0038
211,0.0051,0.0038
212,0.0051,0.0038
213,0.0050,0.0037
214,0.0050,0.0037
215,0.0051,0.0037
216,0.0050,0.0037
217,0.0050,0.0037
218,0.0050,0.0037
219,0.0050,0.0037
220,0.0051,0.0036
221,0.0050,0.0037
222,0.0050,0.0036
223,0.0050,0.0036
224,0.0050,0.0037
225,0.0050,0.0037
226,0.0049,0.0036
227,0.0050,0.0036
228,0.0050,0.0036
229,0.0049,0.0036
230,0.0049,0.0036
231,0.0049,0.0036
232,0.0049,0.0036
233,0.0050,0.0036
234,0.0049,0.0036
235,0.0049,0.0036
236,0.0049,0.0036
237,0.0049,0.0036
238,0.0049,0.0036
239,0.0049,0.0036
240,0.0050,0.0036
241,0.0049,0.0035
242,0.0049,0.0035
243,0.0049,0.0036
244,0.0049,0.0036
245,0.0049,0.0036
246,0.0049,0.0036
247,0.0049,0.0036
248,0.0049,0.0036
249,0.0049,0.0036
250,0.0049,0.0036
251,0.0049,0.0035
252,0.0048,0.0036
253,0.0048,0.0035
254,0.0048,0.0035
255,0.0049,0.0036
256,0.0049,0.0035
257,0.0049,0.0035
258,0.0048,0.0034
259,0.0048,0.0035
260,0.0048,0.0035
261,0.0048,0.0035
262,0.0048,0.0035
263,0.0048,0.0034
264,0.0048,0.0035
265,0.0047,0.0035
266,0.0048,0.0035
267,0.0047,0.0034
268,0.0048,0.0035
269,0.0048,0.0035
270,0.0048,0.0033
271,0.0048,0.0033
272,0.0047,0.0035
273,0.0047,0.0034
274,0.0047,0.0034
275,0.0047,0.0034
276,0.0047,0.0034
277,0.0047,0.0034
278,0.0047,0.0034
279,0.0047,0.0033
280,0.0048,0.0034
281,0.0048,0.0033
282,0.0047,0.0033
283,0.0047,0.0033
284,0.0047,0.0033
285,0.0047,0.0033
286,0.0048,0.0033
287,0.0047,0.0033
288,0.0047,0.0033
289,0.0047,0.0032
290,0.0047,0.0032
291,0.0047,0.0032
292,0.0047,0.0032
293,0.0047,0.0032
294,0.0047,0.0032
295,0.0047,0.0033
296,0.0047,0.0032
297,0.0047,0.0032
298,0.0046,0.0032
299,0.0047,0.0032
300,0.0047,0.0032
