epoch,train_loss,val_loss
1,16.9401,3.7658
2,11.2738,2.5248
3,8.4747,1.6796
4,4.4496,0.4712
5,1.1646,0.1170
6,0.3735,0.0751
7,0.3095,0.0666
8,0.2703,0.0633
9,0.2815,0.0690
10,0.2920,0.0595
11,0.2460,0.0563
12,0.2306,0.0536
13,0.2205,0.0531
14,0.2238,0.0543
15,0.2101,0.0521
16,0.2045,0.0504
17,0.1991,0.0497
18,0.1977,0.0514
19,0.2014,0.0505
20,0.1945,0.0473
21,0.1919,0.0485
22,0.1915,0.0487
23,0.1924,0.0449
24,0.1901,0.0474
25,0.1847,0.0453
26,0.1805,0.0468
27,0.1857,0.0464
28,0.1782,0.0446
29,0.1825,0.0449
30,0.1803,0.0440
31,0.1805,0.0470
32,0.1827,0.0449
33,0.1808,0.0451
34,0.1757,0.0440
35,0.1683,0.0434
36,0.1773,0.0453
37,0.1719,0.0438
38,0.1700,0.0443
39,0.1711,0.0414
40,0.1706,0.0452
41,0.1693,0.0422
42,0.1703,0.0432
43,0.1663,0.0423
44,0.1661,0.0424
45,0.1652,0.0422
46,0.1638,0.0424
47,0.1644,0.0417
48,0.1637,0.0433
49,0.1639,0.0419
50,0.1642,0.0418
51,0.1674,0.0415
52,0.1589,0.0399
53,0.1612,0.0411
54,0.7896,54.1110
55,1.1862,0.2455
56,0.5509,0.1586
57,0.3916,0.1098
58,0.3188,0.0897
59,0.2918,0.0681
60,0.2958,0.0870
61,0.2686,0.0675
62,0.2551,0.0700
63,0.2480,0.0599
64,0.2373,0.0676
65,0.2313,0.0676
66,0.2272,0.0578
67,0.2186,0.0577
68,0.2101,0.0524
69,0.2082,0.0513
70,0.2066,0.0515
71,0.1992,0.0491
72,0.1939,0.0486
73,0.1945,0.0477
74,0.2062,0.0523
75,0.1912,0.0481
76,0.1863,0.0460
77,0.1851,0.0455
78,0.1827,0.0459
79,0.1831,0.0443
80,0.1791,0.0453
81,0.1795,0.0776
82,0.1807,0.0540
83,0.1770,0.0447
84,0.1753,0.0451
85,0.1761,0.0558
86,0.1758,0.0470
87,0.1690,0.0438
88,0.1774,0.0436
89,0.1680,0.0446
90,0.1700,0.0416
91,0.1697,0.0432
92,0.1682,0.0439
93,0.1691,0.0442
94,0.1660,0.0418
95,0.1619,0.0424
96,0.1680,0.0434
97,0.2404,0.1136
98,0.1864,0.0522
99,0.1662,0.0422
100,0.1640,0.0413
101,0.1615,0.0413
102,0.1613,0.0434
103,0.1607,0.0439
104,0.1628,0.0424
105,0.1617,0.0418
106,0.1568,0.0405
107,0.1571,0.0400
108,0.1591,0.0415
109,0.1565,0.0436
110,0.1583,0.0410
111,0.1477,0.0380
112,0.1463,0.0384
113,0.1456,0.0384
114,0.1455,0.0373
115,0.1446,0.0379
116,0.1460,0.0372
117,0.1439,0.0372
118,0.1433,0.0366
119,0.1437,0.0368
120,0.1430,0.0370
121,0.1437,0.0394
122,0.1426,0.0377
123,0.1420,0.0377
124,0.1418,0.0372
125,0.1417,0.0368
126,0.1454,0.0371
127,0.1419,0.0364
128,0.1403,0.0365
129,0.1393,0.0368
130,0.1412,0.0371
131,0.1430,0.0365
132,0.1419,0.0389
133,0.1429,0.0363
134,0.1399,0.0360
135,0.1405,0.0379
136,0.1399,0.0367
137,0.1418,0.0381
138,0.1395,0.0363
139,0.1394,0.0377
140,0.1414,0.0374
141,0.1384,0.0363
142,0.1385,0.0422
143,0.1391,0.0415
144,0.1385,0.0374
145,0.1392,0.0385
146,0.1390,0.0358
147,0.1393,0.0358
148,0.1364,0.0388
149,0.1355,0.0412
150,0.1357,0.0370
151,0.1372,0.0359
152,0.1364,0.0353
153,0.1379,0.0352
154,0.1350,0.0351
155,0.1361,0.0402
156,0.1357,0.0357
157,0.1357,0.0360
158,0.1353,0.0386
159,0.1353,0.0354
160,0.1345,0.0363
161,0.1358,0.0364
162,0.1329,0.0348
163,0.1341,0.0357
164,0.1325,0.0365
165,0.1357,0.0357
166,0.1339,0.0354
167,0.1327,0.0347
168,0.1305,0.0345
169,0.1309,0.0346
170,0.1318,0.0362
171,0.1317,0.0352
172,0.1315,0.0354
173,0.1318,0.0376
174,0.1337,0.0348
175,0.1300,0.0344
176,0.1307,0.0346
177,0.1302,0.0345
178,0.1294,0.0351
179,0.1310,0.0349
180,0.1303,0.0346
181,0.1298,0.0340
182,0.1280,0.0348
183,0.1305,0.0348
184,0.1290,0.0347
185,0.1287,0.0347
