epoch,train_loss,val_loss
1,5.7619,1.2385
2,3.2950,0.7262
3,2.3783,0.5267
4,1.6773,0.3572
5,1.1141,0.2109
6,0.6810,0.1519
7,0.4942,0.1144
8,0.4054,0.1038
9,0.3721,0.1495
10,0.3407,0.0813
11,0.3230,0.0932
12,0.2857,0.0862
13,0.2678,0.0714
14,0.2683,0.0633
15,0.2533,0.0628
16,0.2379,0.0826
17,0.2364,0.0640
18,0.2270,0.0608
19,0.2311,0.0644
20,0.2213,0.0524
21,0.2353,0.0886
22,0.2102,0.0573
23,0.2059,0.0513
24,0.1967,0.0509
25,0.1947,0.0494
26,0.1924,0.0510
27,0.1882,0.0746
28,0.1811,0.0553
29,0.1843,0.0504
30,0.1841,0.0444
31,0.1836,0.0444
32,0.1893,0.0480
33,0.1929,0.0503
34,0.1757,0.0432
35,0.1711,0.0425
36,0.1715,0.0474
37,0.1685,0.0446
38,0.1706,0.0504
39,0.1676,0.0413
40,0.1664,0.0652
41,0.1646,0.0429
42,0.1640,0.0422
43,0.1638,0.0453
44,0.1624,0.0428
45,0.1591,0.0529
46,0.1602,0.0496
47,0.1584,0.0442
48,0.1621,0.0429
49,0.2120,0.0541
50,0.1654,0.0415
51,0.1588,0.0386
52,0.1544,0.0407
53,0.1566,0.0415
54,0.1518,0.0390
55,0.1527,0.0384
56,0.1520,0.0460
57,0.1572,0.0384
58,0.1509,0.0394
59,0.1509,0.0398
60,0.1515,0.0430
61,0.1544,0.0394
62,0.1501,0.0379
63,0.1496,0.0389
64,0.1477,0.0387
65,0.1512,0.0416
66,0.1512,0.0398
67,0.1480,0.0422
68,0.1464,0.0420
69,0.1470,0.0391
70,0.1457,0.0373
71,0.1602,0.0481
72,0.1468,0.0413
73,0.1472,0.0399
74,0.1464,0.0518
75,0.1454,0.0450
76,0.1452,0.0418
77,0.1395,0.0797
78,0.1414,0.0365
79,0.1502,0.0471
80,1.2605,0.4575
81,0.4046,0.0926
82,0.2781,0.0671
83,0.2489,0.0735
84,0.2201,0.0546
85,0.2110,0.0553
86,0.2076,0.0567
87,0.1930,0.0451
88,0.1835,0.0510
89,0.1823,0.0516
90,0.1919,0.0495
91,0.1858,0.0430
92,0.1760,0.0444
93,0.1762,0.0458
94,0.1732,0.0484
95,0.1687,0.0586
96,0.1715,0.1883
97,0.1680,0.0419
98,0.1681,0.0423
99,0.1684,0.0427
100,0.1618,0.0414
101,0.1618,0.0474
102,0.1599,0.0458
103,0.1617,0.0429
104,0.1634,0.0402
105,0.1595,0.0477
106,0.1585,0.0483
107,0.1599,0.0419
108,0.1586,0.0417
109,0.1543,0.0428
110,0.1557,0.0398
111,0.1559,0.0418
112,0.1608,0.0414
113,0.1530,0.0491
114,0.1560,0.0416
115,0.1532,0.0396
116,0.1530,0.0449
117,0.1595,0.0446
118,0.1521,0.0380
119,0.1524,0.0422
120,0.1503,0.0467
121,0.1430,0.0362
122,0.1424,0.0368
123,0.1401,0.0364
124,0.1409,0.0362
125,0.1399,0.0346
126,0.1424,0.0355
127,0.1405,0.0357
128,0.1409,0.0342
129,0.1377,0.0347
130,0.1385,0.0398
131,0.1406,0.0354
132,0.1403,0.0364
133,0.1403,0.0423
134,0.1392,0.0374
135,0.1387,0.0350
136,0.1409,0.0398
137,0.1383,0.0347
138,0.1403,0.0355
139,0.1375,0.0366
140,0.1383,0.0357
141,0.1373,0.0367
142,0.1378,0.0403
143,0.1382,0.0365
144,0.1374,0.0348
145,0.1369,0.0367
146,0.1377,0.0580
147,0.1385,0.0349
148,0.1370,0.0365
149,0.1348,0.0385
150,0.1327,0.0347
151,0.1399,0.0369
152,0.1382,0.0337
153,0.1388,0.0341
154,0.1361,0.0363
155,0.1371,0.0389
156,0.1385,0.0513
157,0.1391,0.0354
158,0.1351,0.0341
159,0.1346,0.0423
160,0.1346,0.0360
161,0.1346,0.0361
162,0.1329,0.0599
163,0.1331,0.0343
164,0.1323,0.0331
165,0.1348,0.0343
166,0.1355,0.0346
167,0.1343,0.0357
168,0.1314,0.0344
169,0.1339,0.0351
170,0.1332,0.0359
171,0.1344,0.0365
172,0.1316,0.0336
173,0.1310,0.0528
174,0.1353,0.0371
175,0.1339,0.0338
176,0.1326,0.0351
177,0.1309,0.0403
178,0.1311,0.0336
179,0.1316,0.0341
180,0.1300,0.0345
181,0.1298,0.0349
182,0.1287,0.0325
183,0.1305,0.0334
184,0.1317,0.0365
185,0.1314,0.0398
186,0.1288,0.0362
187,0.1295,0.0345
188,0.1264,0.0331
189,0.1279,0.0355
190,0.1314,0.0330
191,0.1292,0.0328
192,0.1310,0.0338
193,0.1295,0.0372
194,0.1307,0.0347
195,0.1310,0.0471
196,0.1269,0.0349
197,0.1320,0.0329
198,0.1276,0.1334
199,0.1277,0.0420
200,0.1296,0.0360
201,0.1340,0.0364
202,0.1294,0.0349
203,0.1301,0.0333
204,0.1270,0.0324
205,0.1267,0.0332
206,0.1273,0.0375
207,0.1250,0.0349
208,0.1255,0.0473
209,0.1279,0.0327
210,0.1280,0.0390
211,0.1278,0.0334
212,0.1252,0.0347
213,0.1262,0.0354
214,0.1271,0.0416
215,0.1280,0.0318
216,0.1282,0.0335
217,0.1245,0.0325
218,0.1247,0.0315
219,0.1286,0.0327
220,0.1237,0.0342
221,0.1253,0.0326
222,0.1236,0.0319
223,0.1260,0.0319
224,0.1259,0.0315
225,0.1239,0.0358
226,0.1287,0.0334
227,0.1279,0.0364
228,0.1254,0.0309
229,0.1222,0.0326
230,0.1224,0.0331
231,0.1232,0.0326
232,0.1231,0.0334
233,0.1225,0.0320
234,0.1223,0.0323
235,0.1217,0.0332
236,0.1213,0.0309
237,0.1213,0.0318
238,0.1259,0.0332
239,0.1243,0.0443
240,0.1222,0.0319
241,0.1262,0.0318
242,0.1219,0.0388
243,0.1222,0.0317
244,0.1206,0.0315
245,0.1216,0.0314
246,0.1199,0.0377
247,0.1316,0.0323
248,0.1218,0.0338
249,0.1230,0.0315
250,0.1224,0.0315
251,0.1227,0.0313
252,0.1225,0.0321
253,0.1227,0.0354
254,0.1198,0.0309
255,0.1227,0.0358
256,0.1238,0.0456
257,0.1345,0.0511
258,0.1359,0.0372
