epoch,train_loss,val_loss
1,0.1169,0.0696
2,0.0924,0.0635
3,0.0765,0.0560
4,0.0608,0.0453
5,0.0456,0.0318
6,0.0321,0.0230
7,0.0233,0.0195
8,0.0180,0.0190
9,0.0161,0.0193
10,0.0150,0.0194
11,0.0135,0.0198
12,0.0129,0.0195
13,0.0119,0.0191
14,0.0115,0.0194
15,0.0110,0.0185
16,0.0111,0.0180
17,0.0105,0.0197
18,0.0101,0.0193
19,0.0097,0.0205
20,0.0092,0.0204
21,0.0089,0.0207
22,0.0084,0.0209
23,0.0081,0.0208
24,0.0080,0.0210
25,0.0076,0.0206
26,0.0073,0.0231
27,0.0071,0.0208
28,0.0068,0.0202
29,0.0065,0.0199
30,0.0063,0.0196
31,0.0062,0.0195
32,0.0060,0.0204
33,0.0058,0.0207
34,0.0057,0.0208
35,0.0056,0.0205
36,0.0055,0.0211
37,0.0054,0.0212
38,0.0053,0.0211
39,0.0052,0.0209
40,0.0051,0.0207
41,0.0050,0.0207
42,0.0048,0.0200
43,0.0047,0.0195
44,0.0046,0.0120
45,0.0045,0.0131
46,0.0044,0.0039
47,0.0044,0.0039
48,0.0043,0.0035
49,0.0043,0.0032
50,0.0042,0.0031
51,0.0042,0.0031
52,0.0041,0.0029
53,0.0041,0.0029
54,0.0041,0.0029
55,0.0040,0.0028
56,0.0040,0.0027
57,0.0040,0.0029
58,0.0039,0.0027
59,0.0039,0.0026
60,0.0039,0.0025
61,0.0039,0.0025
62,0.0039,0.0026
63,0.0038,0.0027
64,0.0038,0.0027
65,0.0038,0.0026
66,0.0038,0.0027
67,0.0038,0.0028
68,0.0038,0.0026
69,0.0038,0.0026
70,0.0038,0.0027
71,0.0037,0.0025
72,0.0037,0.0027
73,0.0037,0.0026
74,0.0037,0.0023
75,0.0037,0.0025
76,0.0037,0.0025
77,0.0037,0.0024
78,0.0036,0.0024
79,0.0036,0.0024
80,0.0036,0.0023
81,0.0036,0.0022
82,0.0036,0.0023
83,0.0036,0.0022
84,0.0036,0.0021
85,0.0036,0.0023
86,0.0036,0.0022
87,0.0035,0.0021
88,0.0035,0.0020
89,0.0035,0.0021
90,0.0035,0.0021
91,0.0035,0.0020
92,0.0035,0.0021
93,0.0035,0.0022
94,0.0035,0.0021
95,0.0035,0.0022
96,0.0035,0.0020
97,0.0035,0.0020
98,0.0035,0.0020
99,0.0035,0.0022
100,0.0035,0.0021
101,0.0035,0.0021
102,0.0035,0.0020
103,0.0035,0.0019
104,0.0035,0.0020
105,0.0035,0.0020
106,0.0035,0.0019
107,0.0035,0.0019
108,0.0035,0.0020
109,0.0035,0.0021
110,0.0034,0.0020
111,0.0034,0.0020
112,0.0035,0.0020
113,0.0034,0.0021
114,0.0034,0.0021
115,0.0034,0.0021
116,0.0034,0.0020
117,0.0034,0.0020
118,0.0034,0.0021
119,0.0034,0.0021
120,0.0034,0.0020
121,0.0034,0.0020
122,0.0034,0.0020
123,0.0034,0.0020
124,0.0034,0.0020
125,0.0034,0.0020
126,0.0034,0.0021
127,0.0034,0.0020
128,0.0034,0.0019
129,0.0034,0.0021
130,0.0034,0.0019
131,0.0034,0.0019
132,0.0034,0.0020
133,0.0034,0.0020
134,0.0034,0.0020
135,0.0034,0.0020
136,0.0034,0.0020
137,0.0034,0.0019
138,0.0034,0.0019
139,0.0034,0.0020
140,0.0034,0.0020
141,0.0034,0.0019
142,0.0034,0.0019
143,0.0034,0.0020
144,0.0034,0.0019
145,0.0034,0.0019
146,0.0034,0.0021
147,0.0034,0.0020
148,0.0034,0.0020
149,0.0034,0.0020
150,0.0034,0.0020
151,0.0034,0.0020
152,0.0034,0.0019
153,0.0034,0.0020
154,0.0034,0.0020
155,0.0034,0.0019
156,0.0034,0.0019
157,0.0034,0.0019
158,0.0034,0.0021
159,0.0034,0.0021
160,0.0034,0.0019
161,0.0034,0.0020
162,0.0034,0.0020
163,0.0034,0.0019
164,0.0034,0.0019
165,0.0034,0.0019
166,0.0034,0.0020
167,0.0034,0.0020
168,0.0034,0.0020
169,0.0034,0.0021
170,0.0034,0.0019
171,0.0033,0.0019
172,0.0034,0.0019
173,0.0033,0.0020
174,0.0034,0.0019
175,0.0034,0.0019
176,0.0034,0.0020
177,0.0033,0.0020
178,0.0033,0.0020
179,0.0034,0.0019
180,0.0034,0.0020
181,0.0033,0.0019
182,0.0033,0.0020
183,0.0033,0.0020
184,0.0033,0.0019
185,0.0033,0.0019
186,0.0033,0.0019
187,0.0033,0.0020
188,0.0033,0.0019
189,0.0033,0.0019
190,0.0033,0.0020
191,0.0033,0.0019
192,0.0033,0.0019
193,0.0033,0.0019
194,0.0033,0.0020
195,0.0033,0.0020
196,0.0033,0.0019
197,0.0033,0.0020
198,0.0033,0.0021
199,0.0033,0.0019
200,0.0033,0.0020
201,0.0033,0.0020
202,0.0033,0.0020
203,0.0033,0.0020
204,0.0033,0.0019
205,0.0033,0.0019
206,0.0033,0.0019
207,0.0033,0.0020
208,0.0033,0.0019
209,0.0033,0.0020
210,0.0033,0.0019
211,0.0033,0.0020
212,0.0033,0.0019
213,0.0033,0.0020
214,0.0033,0.0020
215,0.0033,0.0019
216,0.0033,0.0020
217,0.0033,0.0020
218,0.0033,0.0019
219,0.0033,0.0020
220,0.0033,0.0019
221,0.0033,0.0019
222,0.0033,0.0019
223,0.0033,0.0019
224,0.0033,0.0019
225,0.0033,0.0020
226,0.0033,0.0020
227,0.0033,0.0019
228,0.0033,0.0020
229,0.0033,0.0019
230,0.0033,0.0019
231,0.0033,0.0019
232,0.0033,0.0019
233,0.0033,0.0019
234,0.0033,0.0019
235,0.0033,0.0018
236,0.0033,0.0019
237,0.0033,0.0019
238,0.0033,0.0019
239,0.0033,0.0019
240,0.0033,0.0018
241,0.0033,0.0019
242,0.0033,0.0019
243,0.0033,0.0019
244,0.0033,0.0019
245,0.0033,0.0019
246,0.0033,0.0019
247,0.0033,0.0019
248,0.0033,0.0019
249,0.0033,0.0019
250,0.0033,0.0019
251,0.0033,0.0019
252,0.0033,0.0019
253,0.0033,0.0019
254,0.0033,0.0019
255,0.0033,0.0019
256,0.0033,0.0019
257,0.0033,0.0019
258,0.0033,0.0018
259,0.0033,0.0019
260,0.0033,0.0019
261,0.0033,0.0019
262,0.0033,0.0019
263,0.0033,0.0019
264,0.0033,0.0019
265,0.0033,0.0019
266,0.0033,0.0018
267,0.0033,0.0018
268,0.0033,0.0019
269,0.0033,0.0018
270,0.0033,0.0019
271,0.0033,0.0019
272,0.0033,0.0019
273,0.0033,0.0020
274,0.0033,0.0019
275,0.0033,0.0018
276,0.0033,0.0019
277,0.0033,0.0019
278,0.0033,0.0019
279,0.0033,0.0019
280,0.0033,0.0018
281,0.0033,0.0020
282,0.0033,0.0019
283,0.0033,0.0019
284,0.0033,0.0019
285,0.0033,0.0019
286,0.0033,0.0019
287,0.0033,0.0019
288,0.0033,0.0019
289,0.0033,0.0019
290,0.0033,0.0018
291,0.0033,0.0019
292,0.0033,0.0018
293,0.0032,0.0019
294,0.0032,0.0019
295,0.0033,0.0019
296,0.0033,0.0019
297,0.0032,0.0019
298,0.0032,0.0018
299,0.0033,0.0019
300,0.0033,0.0018
301,0.0032,0.0019
302,0.0032,0.0019
303,0.0032,0.0019
304,0.0033,0.0019
305,0.0033,0.0019
306,0.0032,0.0018
307,0.0032,0.0018
308,0.0032,0.0019
309,0.0032,0.0018
310,0.0032,0.0019
311,0.0032,0.0019
312,0.0032,0.0018
313,0.0032,0.0019
314,0.0032,0.0018
315,0.0032,0.0019
316,0.0032,0.0019
317,0.0032,0.0019
318,0.0032,0.0019
319,0.0032,0.0020
320,0.0032,0.0019
321,0.0032,0.0018
322,0.0033,0.0019
323,0.0032,0.0019
324,0.0032,0.0019
325,0.0032,0.0019
326,0.0032,0.0019
327,0.0032,0.0019
328,0.0032,0.0019
329,0.0032,0.0018
330,0.0032,0.0019
331,0.0032,0.0018
332,0.0032,0.0019
333,0.0032,0.0018
334,0.0032,0.0019
335,0.0032,0.0019
336,0.0032,0.0019
337,0.0032,0.0019
338,0.0032,0.0018
339,0.0032,0.0019
340,0.0032,0.0019
341,0.0032,0.0019
342,0.0032,0.0019
343,0.0032,0.0019
344,0.0032,0.0020
345,0.0032,0.0019
346,0.0032,0.0019
347,0.0032,0.0020
348,0.0032,0.0019
349,0.0032,0.0018
350,0.0032,0.0019
351,0.0032,0.0018
352,0.0032,0.0019
353,0.0032,0.0018
354,0.0032,0.0019
355,0.0032,0.0018
356,0.0032,0.0018
357,0.0032,0.0018
358,0.0032,0.0019
359,0.0032,0.0019
360,0.0032,0.0019
361,0.0032,0.0019
362,0.0032,0.0019
