epoch,train_loss,val_loss
1,0.0913,0.0452
2,0.0742,0.0368
3,0.0610,0.0362
4,0.0510,0.0349
5,0.0474,0.0339
6,0.0427,0.0341
7,0.0394,0.0313
8,0.0365,0.0287
9,0.0327,0.0276
10,0.0287,0.0255
11,0.0247,0.0223
12,0.0223,0.0177
13,0.0195,0.0174
14,0.0161,0.0140
15,0.0151,0.0146
16,0.0134,0.0158
17,0.0149,0.0123
18,0.0137,0.0102
19,0.0139,0.0110
20,0.0114,0.0130
21,0.0117,0.0130
22,0.0116,0.0147
23,0.0124,0.0114
24,0.0112,0.0124
25,0.0101,0.0144
26,0.0104,0.0141
27,0.0101,0.0165
28,0.0096,0.0098
29,0.0099,0.0130
30,0.0096,0.0158
31,0.0093,0.0162
32,0.0094,0.0115
33,0.0090,0.0096
34,0.0089,0.0145
35,0.0094,0.0095
36,0.0091,0.0113
37,0.0092,0.0095
38,0.0090,0.0133
39,0.0087,0.0165
40,0.0090,0.0180
41,0.0086,0.0164
42,0.0087,0.0170
43,0.0084,0.0133
44,0.0083,0.0143
45,0.0082,0.0144
46,0.0083,0.0148
47,0.0088,0.0080
48,0.0100,0.0090
49,0.0087,0.0081
50,0.0085,0.0075
51,0.0085,0.0075
52,0.0082,0.0071
53,0.0080,0.0072
54,0.0076,0.0073
55,0.0076,0.0071
56,0.0078,0.0072
57,0.0081,0.0072
58,0.0078,0.0071
59,0.0076,0.0071
60,0.0076,0.0070
61,0.0076,0.0070
62,0.0076,0.0068
63,0.0073,0.0070
64,0.0074,0.0068
65,0.0073,0.0068
66,0.0073,0.0076
67,0.0072,0.0068
68,0.0073,0.0068
69,0.0072,0.0066
70,0.0072,0.0069
71,0.0074,0.0067
72,0.0071,0.0067
73,0.0071,0.0077
74,0.0070,0.0071
75,0.0070,0.0067
76,0.0070,0.0066
77,0.0070,0.0065
78,0.0069,0.0066
79,0.0070,0.0067
80,0.0069,0.0069
81,0.0067,0.0072
82,0.0069,0.0078
83,0.0069,0.0070
84,0.0070,0.0066
85,0.0068,0.0066
86,0.0069,0.0066
87,0.0067,0.0065
88,0.0069,0.0066
89,0.0066,0.0067
90,0.0067,0.0066
91,0.0066,0.0068
92,0.0067,0.0059
93,0.0065,0.0067
94,0.0072,0.0072
95,0.0067,0.0069
96,0.0066,0.0069
97,0.0065,0.0066
98,0.0068,0.0061
99,0.0070,0.0059
100,0.0068,0.0060
101,0.0068,0.0062
102,0.0068,0.0061
103,0.0067,0.0063
104,0.0068,0.0061
105,0.0066,0.0060
106,0.0064,0.0060
107,0.0064,0.0063
108,0.0065,0.0061
109,0.0063,0.0062
110,0.0064,0.0059
111,0.0063,0.0061
112,0.0063,0.0061
113,0.0064,0.0061
114,0.0064,0.0060
115,0.0063,0.0059
116,0.0064,0.0061
117,0.0065,0.0060
118,0.0062,0.0058
119,0.0063,0.0059
120,0.0062,0.0058
121,0.0062,0.0059
122,0.0062,0.0873
123,0.0063,0.0065
124,0.0063,0.0060
125,0.0062,0.0059
126,0.0061,0.0058
127,0.0061,0.0059
128,0.0063,0.0060
129,0.0062,0.0059
130,0.0062,0.0055
131,0.0061,0.0055
132,0.0061,0.0058
133,0.0060,0.0056
134,0.0061,0.0057
135,0.0062,0.0057
136,0.0061,0.0053
137,0.0060,0.0056
138,0.0061,0.0054
139,0.0060,0.0054
140,0.0061,0.0057
141,0.0059,0.0056
142,0.0061,0.0055
143,0.0060,0.0056
144,0.0060,0.0056
145,0.0060,0.0056
146,0.0061,0.0057
147,0.0059,0.0056
148,0.0060,0.0054
149,0.0058,0.0055
150,0.0060,0.0054
151,0.0059,0.0056
152,0.0059,0.0054
153,0.0059,0.0053
154,0.0060,0.0055
155,0.0059,0.0054
156,0.0059,0.0055
157,0.0058,0.0052
158,0.0059,0.0053
159,0.0058,0.0055
160,0.0059,0.0053
161,0.0058,0.0053
162,0.0058,0.0056
163,0.0058,0.0053
164,0.0058,0.0054
165,0.0059,0.0052
166,0.0058,0.0051
167,0.0058,0.0051
168,0.0057,0.0056
169,0.0057,0.0056
170,0.0056,0.0051
171,0.0057,0.0057
172,0.0057,0.0055
173,0.0057,0.0053
174,0.0057,0.0052
175,0.0057,0.0055
176,0.0056,0.0054
177,0.0056,0.0053
178,0.0056,0.0052
179,0.0056,0.0050
180,0.0056,0.0053
181,0.0056,0.0051
182,0.0057,0.0054
183,0.0055,0.0055
184,0.0055,0.0053
185,0.0055,0.0052
186,0.0055,0.0052
